NationalityId,Keywords,Name,Name-cy,Priority,PriorityUK,Region
N2020,,Tristanian,Tristanaidd,,,4
N2030,,Tunisian,Un o Tunisia,,,4
N2040,,Turkish,Twrcaidd,,,4
N2050,,Turkmen,Un o Turkmenistan,,,4
N2060,,Turks and Caicos Islander,Un o Ynysoedd Turks a Caicos,,,4
N2070,,Tuvaluan,Un o Tuvalu,,,4
N2080,,Ugandan,Un o Uganda,,,4
N2090,,Ukrainian,Wcreinaidd,,,4
N2100,,Uruguayan,Un o Uruguay,,,4
N2110,,Uzbek,Un o Uzbekistan,,,4
N2120,,Vatican citizen,Dinesydd o’r Fatican,,,4
N2130,,Citizen of Vanuatu,Dinesydd o Vanuatu,,,4
N2140,,Venezuelan,Un o Venezuela,,,4
N2150,,Vietnamese,Fietnamaidd,,,4
N2160,,Vincentian,Un o St Vincent,,,4
N2170,,Wallisian,Un o Wallis a Futuna,,,4
N2180,,Welsh,Cymreig,,,2
N2190,,Yemeni,Yemeni,,,4
N2200,,Zambian,Un o Zambia,,,4
N2210,,Zimbabwean,Un o Zimbabwe,,,4
